feature,importance
V30,0.07887383
C8,0.07303932
V317,0.06686654
V287,0.04635467
V70,0.032760594
C4,0.027538694
V69,0.026165362
C14,0.024176281
V95,0.022506977
V94,0.021128375
V280,0.019253362
V29,0.017643664
V294,0.013474373
V100,0.013460009
C2,0.01275585
V97,0.012725751
V312,0.012308273
V36,0.010868171
C1,0.010746306
V90,0.010352429
V284,0.010117926
V103,0.009788766
V45,0.009588887
V128,0.008911979
V71,0.008844873
C13,0.008745145
C11,0.008150415
card6,0.00812344
V12,0.0076795393
V48,0.0074421666
V38,0.007180985
V126,0.006911173
V101,0.006751885
V279,0.006375201
V72,0.006327049
V98,0.0063161165
V64,0.0063074697
V75,0.005883787
V35,0.0058493153
M6,0.0057622287
V296,0.005285324
ProductCD,0.0052242293
V87,0.005128422
V308,0.0048424304
V289,0.0048052333
V302,0.0047537726
V298,0.004569725
V79,0.004454555
V67,0.0043775397
V288,0.00435456
V293,0.004224983
V283,0.0041011507
V54,0.0040557706
V96,0.0039700046
V19,0.0039384393
V20,0.0039321114
V291,0.0038833935
V62,0.0038014783
C5,0.0037886747
V49,0.0036396482
V281,0.0036332954
V47,0.0036291794
V13,0.0036281897
V57,0.0036074826
V124,0.0034963142
V295,0.0034890664
V18,0.0033737978
C10,0.00329543
card3,0.0032724903
V282,0.003230473
V290,0.003165395
P_emaildomain,0.0031487863
V286,0.0031304383
V99,0.0030435014
V306,0.0029858854
C9,0.0029637779
C6,0.002877343
V53,0.0027845958
V50,0.0027606608
V91,0.0026543376
V42,0.00261562
V17,0.0026150094
V309,0.0026041425
V61,0.0025831019
V106,0.0025251957
V316,0.002438798
V21,0.0024370223
V112,0.002434718
V76,0.0023784882
V102,0.002370878
V300,0.0023656797
V285,0.0023409706
V105,0.0022696473
V32,0.0022289203
C7,0.0022143347
V292,0.0021262043
D15,0.0020144223
V313,0.0020065762
V84,0.0019780833
V83,0.0019471656
D4,0.0019198535
V299,0.0018748986
D10,0.0018418188
V56,0.001822667
V132,0.0017966861
V74,0.0017941785
V16,0.0017693839
V51,0.00173312
V78,0.0017199938
V297,0.0016866173
V52,0.0016687801
V303,0.0016556343
V80,0.0016341343
V15,0.0016119535
D1,0.0016109922
V46,0.0015953999
V92,0.0015631934
V24,0.0015600661
V55,0.0015231475
V31,0.001520776
V93,0.0015073156
V14,0.0014959477
V86,0.0014822993
V127,0.0014812619
V104,0.0014415411
V37,0.0014164995
V133,0.0014046058
V137,0.0013936744
V304,0.001381592
V123,0.0013264898
addr2,0.0013183235
V315,0.0013084892
V22,0.0012983758
V82,0.001262442
V26,0.0012205633
V136,0.0011867117
C3,0.0011712803
V63,0.0011607051
V44,0.0011578957
V66,0.0011232679
V131,0.001104154
V320,0.0010944006
V81,0.0010923451
V129,0.0010750913
V59,0.0010662209
V77,0.0010423597
card2,0.0010396414
addr1,0.0010374169
V310,0.0010370009
V301,0.0010238572
card1,0.0010168884
V25,0.001015516
V43,0.0010153012
card5,0.0010093466
V135,0.001004152
C12,0.0009986829
V130,0.0009968481
V307,0.0009833558
V318,0.0009683693
TransactionAmt,0.00092695316
V314,0.0008894756
V134,0.0008406027
V58,0.00083114184
V39,0.0008221119
V311,0.0007915483
V85,0.000781983
card4,0.00078184105
V115,0.0007656091
V319,0.0007405464
V110,0.0007344035
V40,0.0007192016
V109,0.0006952669
V60,0.00067655067
V114,0.0006702339
V23,0.000659882
V73,0.00065623375
V113,0.00059642486
V125,0.00054746086
V33,0.000537115
V111,0.0005123514
V321,0.0005059079
V108,0.00048897375
V34,0.00046966723
V120,0.00036132336
V117,0.0003559288
V118,0.00029883877
V116,0.00022388084
V121,0.00020093645
V41,0.0
V28,0.0
V27,0.0
V107,0.0
V88,0.0
V89,0.0
V65,0.0
V68,0.0
V119,0.0
V122,0.0
V305,0.0
